ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Price,Annex,value,overun_%
1,KACANIK,Services,Not Provided,KA652/10/02/236,"Sigurimi I automjeteve te Administr.,QKMF-se Sherb.Zjarrfikesve",2010,PROSING NSH,Kacanik,3-Mar-10,Not Provided,"7,564.31",Not Provided,7564.31,0
2,KACANIK,Supply,Not Provided,KA652/10/03/136,Furnizim me material stomatologjik dhe laboratorik per QKMF-ne-Kacanik,2010,BULI MEDICAL NTP,Prishtine,22-Mar-10,Not Provided,"10,000.00",Not Provided,10000,0
3,KACANIK,Supply,Not Provided,KA652/10/04/136,Furnizim me perde per katin e trete ne objektin e Administrates Komunale,2010,JETA E RE NTSH,Kacanik,30-Mar-10,Not Provided,"1,736.29",Not Provided,1736.29,0
4,KACANIK,Services,Not Provided,8493/10/06/235,Eleminimi I qeneve Endacak,2010,SHOQATA E GJUETAREVE DRERI ,Kacanik,1-Apr-10,Not Provided,"2,685.00",Not Provided,2685,0
5,KACANIK,Services,Not Provided,8493/10/06/235,Eleminimi I qeneve Endacak,2010,SHOQATA E GJUETAREVE DRERI ,Kacanik,1-Apr-10,Not Provided,"2,685.00",Not Provided,2685,0
6,KACANIK,Supply,Not Provided,KA652/10/07/136,Furnizim me Inventar per Shkollat dhe Administraten Komunale,2010,METALI NTP,Viti,6-Apr-10,Not Provided,"5,235.00",Not Provided,5235,0
7,KACANIK,Services,Not Provided,KA652/10/05/236,Mirembajtja dhe riparimi I Automjeteve,2010,MELSIA NTP,Kacanik,8-Apr-10,Not Provided,"10,000.00",Not Provided,10000,0
8,KACANIK,Supply,Not Provided,KA652/10/08/136,Furnizim me gyp te ujit per pije per shkollen fillorre Ali Asllani paralelja ne fshatin Koxhaj,2010,NDRIQIMI NT,Kacanik,8-Apr-10,Not Provided,"1,836.00",Not Provided,1836,0
9,KACANIK,Services,Not Provided,KA652/10/14/236,Vendosja e Bustit te heroit Kombetar Idriz Seferi ne Kacanik,2010,CONSULT ENGENERING NP,Kacanik,15-Apr-10,Not Provided,"5,922.20",Not Provided,5922.2,0
10,KACANIK,Services,Not Provided,KA652/10/09/236,"Punimi I muralit ne shkollkn fillore ""Qamil Ilazi"" te fhsatit Kacanik I Vjeter",2010,P & I NNSH,Kacanik,16-Apr-10,Not Provided,"2,850.74",Not Provided,2850.74,0
11,KACANIK,Supply,Not Provided,KA652/10/13/121,"Furnizim me materijal per mirembajtjen e nderteses se SHCK-se, Objekteve Shkollore,Shtepit e Shendetit dhe Ndertesen e Zjarrfiksave",2010,NDRIQIMI NT,Kacanik,19-May-10,Not Provided,"20,000.00",Not Provided,20000,0
12,KACANIK,Jobs,Not Provided,KA652/10/12/521,Meremetimi I Pjeserishem ne disa Shkolla ne Komunen e Kacanikut,2010,P & I NNSH,Ferizaj,21-May-10,Not Provided,"34,588.32",Not Provided,34588.32,0
13,KACANIK,Services,Not Provided,KA652/10/20/525,Rregullimi I murit mbrojtes ne lagjen e re-Kacanik,2010,AR DRITI NTSH,Ferizaj,24-May-10,Not Provided,"9,981.88",Not Provided,9981.88,0
14,KACANIK,Supply,Not Provided,KA652/10/22/136,Furnizim me materijal ndertimor per Shkollen fillore ne fshatin Strazhe,2010,NDRIQIMI NT,Kacanik,3-Jun-10,Not Provided,"8,483.00",Not Provided,8483,0
15,KACANIK,Jobs,Not Provided,KA652/10/15/521,Asfaltimi i rruges ne fshatin Elezaj,2010,EUROTRANS NNT,Kacanik,15-Jun-10,Not Provided,"150,426.70",Not Provided,150426.7,0
16,KACANIK,Supply,Not Provided,KA652/09/024/136,"Furnizim me materijal higjenik per nevojat e SHCK-se, Shkollat, Zjarrfiksave dhe Shendetsine.",2010,DADINI NTP,Kacanik,16-Jun-10,Not Provided,"10,000.00",Not Provided,10000,0
17,KACANIK,Supply,Not Provided,KA652/09/025/136,"Furnizim me materijal ushqimor dhe pije per nevojat e SHCK-se, Shkollat, Zjarrfiksave dhe Shendetsine.",2010,DADINI NTP,Kacanik,16-Jun-10,Not Provided,"10,000.00",Not Provided,10000,0
18,KACANIK,Jobs,Not Provided,KA652/10/18/521,Ndertimi I Kanalizimit fekal per Lagjen Imisht ne fshatin Lirishte,2010,MURSELI COMPANY SHPK,Kacanik,17-Jun-10,Not Provided,"23,486.00",Not Provided,23486,0
19,KACANIK,Jobs,Not Provided,KA652/10/19/521,Asfaltimi I rruges Lirishte - Sepetine,2010,ATC COM NNP,Kacanik,18-Jun-10,Not Provided,"152,077.96",Not Provided,152077.96,0
20,KACANIK,Services,Not Provided,KA652/10/23/236,Renovimi I objektit te administrates Komunale - Fasadimi,2010,P & I NNSH,Ferizaj,18-Jun-10,Not Provided,"9,945.00",Not Provided,9945,0
21,KACANIK,Services,Not Provided,KA652/10/035/236,Transparenca Komunale per Planifikim Vjetor,2010,RADIO KA_ANIKU,Kacanik,7-Jul-10,Not Provided,"6,600.00",Not Provided,6600,0
22,KACANIK,Supply,Not Provided,KA652/10/032/136,Furnizim me Mobilje per nevojat Administrates Komunale,2010,METALI NTP,Not Provided,16-Jul-10,Not Provided,"2,985.00",Not Provided,2985,0
23,KACANIK,Supply,Not Provided,KA652/10/036/136,Furnizim me pajisje teknologjike per nevojat e administartes Komunale,2010,ELITA IT NTSH,Kacanik,19-Jul-10,Not Provided,"9,751.00",Not Provided,9751,0
24,KACANIK,Services,Not Provided,KA652/10/031/236,Ndertimi I mureve ndarese ne shkollen fillore Qamil Ilazi dhe ndertimi I WC - ve dhe nyjeve sanitare ne shkollen fillore ne fshatin Bicaj,2010,ARDRITI NTSH,Kacanik,20-Jul-10,Not Provided,"9,979.37",Not Provided,9979.37,0
25,KACANIK,Jobs,Not Provided,KA652/10/26/521,Punimi I rrjetit nentoksor te tensionit te larte ne rrugen Ismail Raka,2010,ARDRITI NTSH,Not Provided,21-Jul-10,Not Provided,"37,714.00",Not Provided,37714,0
26,KACANIK,Supply,Not Provided,KA652/10/029/121,"""Furnizim me nafte dhe derivate te naftes per nevojat e SHCK-se, Shendetesine, Shkollat dhe Zjarrfiksat"", Kontrate njevjeqare me mundesi vazhdimiedhe per nje vit.",2010,SHKENDIA NTSH,Kacanik,22-Jul-10,Not Provided,"150,000.00",Not Provided,150000,0
27,KACANIK,Jobs,Not Provided,KA652/10/030/521,Pastrimi I perronjeve ne Komunen e Kacanikut,2010,VLLEZRIT DEMA NT,Kacanik,4-Aug-10,Not Provided,"38,878.56",Not Provided,38878.56,0
28,KACANIK,Services,Not Provided,KA652/10/028/221,"Sigurimi i objekteve te Administrates Komunale,Qendres Kryesore te Mjekesise Familjare dhe Shtepise se Kultures, Xheladin Kurtaj""- Kacanik. Kontrate njevjecare me mundesi vazhdimi edhe per nje vit.",2010,SYRI I SHQIPONJES SHPK,Kacanik,12-Aug-10,Not Provided,"36,000.00",Not Provided,36000,0
29,KACANIK,Jobs,Not Provided,KA652/10/033/521,Ndertimi I kanalizimit fekal ne rrugen 2 Korriku,2010,MURSELI COMPANY SHPK,Kacanik,16-Aug-10,Not Provided,"39,997.42",Not Provided,39997.42,0
30,KACANIK,Jobs,Not Provided,KA652/10/034/521,Ndertimi I kanalizimit fekal dhe atmosferik ne fshatin Doganaj - Lagja Mursel dhe Kolsh,2010,MURSELI COMPANY SHPK,Kacanik,16-Aug-10,Not Provided,"34,977.89",Not Provided,34977.89,0
31,KACANIK,Services,Not Provided,KA652/10/43/236,"Rregullimi I nyjeve sanitare te personelit, dyshemeve te zyres se personelit, Drejtorit dhe dritaret e tyre ne gjimnazin Skenderbeu",2010,CONSULT ENGENERING NP,Kacanik,7-Sep-10,Not Provided,"8,497.13",Not Provided,8497.13,0
32,KACANIK,Supply,Not Provided,KA652/10/038/121,"Furnizim me lende djegese thengjil, per Shkollat",2010,AJRONI COM NTP,Prishtine,8-Sep-10,Not Provided,"9,120.00",Not Provided,9120,0
33,KACANIK,Jobs,Not Provided,KA652/10/39/521,Asfaltimi I rruges Deshmoret e Lirise,2010,UNIPROJEKT NPN,Kacanik,10-Sep-10,Not Provided,"39,856.26",Not Provided,39856.26,0
34,KACANIK,Services,Not Provided,KA652/10/44/236,Sanimi I rrjetit te Kanalizimit fekal ne lagjen Drogomac dhe lagjen Vathtur,2010,BURIMI SHPK,Kacanik,15-Sep-10,Not Provided,"6,409.69",Not Provided,6409.69,0
35,KACANIK,Jobs,Not Provided,KA652/10/40/521,"Zgerimi dhe asfalltimi I rruges nga maxhistralja per fsh,Bicec dhe fsh.Nike",2010,BURIMI SHPK,Kacanik,16-Sep-10,Not Provided,"47,956.60",Not Provided,47956.6,0
36,KACANIK,Jobs,Not Provided,KA652/10/41/521,Meremetimi I shtepise se Kultures ne fshatin Glloboqice,2010,ATC COM NNP,Kacanik,20-Sep-10,Not Provided,"18,923.55",Not Provided,18923.55,0
37,KACANIK,Jobs,Not Provided,KA652/10/46/521,Ndertimi I trotuarit ne rrugen dalese kryesore nga Kacaniku dhe rampave per personat me aftesi te kufizuara,2010,FLORIDA TRADE NTSH,Kacanik,15-Oct-10,Not Provided,"7,035.89",Not Provided,7035.89,0
38,KACANIK,Jobs,Not Provided,KA652/10/49/521,Ndertimi I byfese ne katin e pare mbi zyren e pritjes,2010,FLORIDA TRADE NTSH,Kacanik,15-Oct-10,Not Provided,"14,875.96",Not Provided,14875.96,0
39,KACANIK,Services,Not Provided,KA652/10/51/236,Ndertimi I trotuarit ne rrugen Vllezerit _aka,2010,REMA NTSH,Kacanik,15-Oct-10,Not Provided,"9,956.66",Not Provided,9956.66,0
40,KACANIK,Supply,Not Provided,KA652/10/047/121,"""Furnizim me lende djegese dru per shkollat, shendetsine dhe te zyreve te vendit dhe shkurtimi I tyre",2010,KEMI NPSH,Kacanik,25-Oct-10,Not Provided,"34,916.00",Not Provided,34916,0
41,KACANIK,Jobs,Not Provided,KA652/10/52/521,"Ndertimi I rrjetit te ujsjellsit, rezervareve dhe kaptazhes per fshani Glloboqic",2010,BURIMI SHPK,Kacanik,25-Oct-10,Not Provided,"159,566.20",Not Provided,159566.2,0
42,KACANIK,Services,Not Provided,KA652/10/54/236,"Ndertimi I tumbines ne fsh.Kovace dhe vendosja e gypit ne fsh.Bajnic te Sh.F'Nazmi Osmani""",2010,EUROTRANS NNT,Kacanik,2-Nov-10,Not Provided,"6,870.52",Not Provided,6870.52,0
43,KACANIK,Services,Not Provided,KA652/10/58/236,Sanimi I rrjetit te Kanalizimit fekal ne lagjen Ahmetaj dhe Tron ne fsh.Kovacec-Kacanik,2010,MURSELI COMPANY SHPK,Kacanik,2-Nov-10,Not Provided,"1,500.00",Not Provided,1500,0
44,KACANIK,Jobs,Not Provided,KA652/10/42/521,Asfaltimi I rruges Lamaj - Cak - Tifek,2010,BURIMI SHPK,Kacanik,3-Nov-10,Not Provided,"90,050.75",Not Provided,90050.75,0
45,KACANIK,Jobs,Not Provided,KA652/10/030/521,"Pastrimi I perronjeve ne Komunen e Kacanikut, Aneks Kontrat",2010,VLLEZRIT DEMA NT,Kacanik,8-Nov-10,Not Provided,"3,816.00",Not Provided,3816,0
46,KACANIK,Jobs,Not Provided,KA652/10/53/521,Ndertimi I shkolles fillore ne fshatin Vate -Dubrave,2010,MURSELI COMPANY SHPK,Kacanik,9-Nov-10,Not Provided,"191,238.73",Not Provided,191238.73,0
47,KACANIK,Services,Not Provided,KA652/10/57/236,Meremetimi I banjove ne QKMF-ne-Kacanik,2010,AR DRITI NTSH,Ferizaj,9-Nov-10,Not Provided,"1,298.51",Not Provided,1298.51,0
48,KACANIK,Services,Not Provided,KA652/10/59/236,Sanimi I rrjetit te kanalizimit fekal ne rrugen Agim Bajrmi,2010,MURSELI COMPANY SHPK,Kacanik,9-Nov-10,Not Provided,"1,999.46",Not Provided,1999.46,0
49,KACANIK,Supply,Not Provided,KA652/10/60/136,Furnizim me tonera per nevojat e Administrates Komunale,2010,BESS TONERS NTSH,Gjilan,11-Nov-10,Not Provided,"10,000.00",Not Provided,10000,0
50,KACANIK,Supply,Not Provided,KA652/10/61/136,"Furnizim me material te ujsjellsit ne fsh,Reke-Kacanik",2010,TE LUTA NTSH,Kacanik,11-Nov-10,Not Provided,"2,935.10",Not Provided,2935.1,0
51,KACANIK,Services,Not Provided,KA652/10/56/521,Mirmbajtja Verore dhe Dimrore e rrugeve ne Komunen e Kacanikut,2010,MAGJISTRALJA NNT,Gjilan,15-Nov-10,Not Provided,"55,000.00",Not Provided,55000,0
52,KACANIK,Supply,Not Provided,KA652/10/62/136,Furnizimi dhe montimi I pompes per nxemjen qendrore neQKMF-,2010,AR DRITI NTSH,Kacanik,1-Dec-10,Not Provided,"1,800.00",Not Provided,1800,0
53,KACANIK,Services,Not Provided,KA652/10/63/236,Regullimi I kanalizimit ne rrugen deshmoret e lirise,2010,UNIPROJEKT NPN,Kacanik,1-Dec-10,Not Provided,"1,949.25",Not Provided,1949.25,0
54,KACANIK,Jobs,Not Provided,KA652/10/55/521,Rregullimi dhe asfalltimi I rrugeve Lokale,2010,MAGJISTRALJA NNT,Gjilan,8-Dec-10,Not Provided,"50,000.00",Not Provided,50000,0
55,KACANIK,Supply,Not Provided,KA652/10/64/136,Furnizim me tepison per shkollat,2010,EDONA DPT,Kacanik,13-Dec-10,Not Provided,"2,010.20",Not Provided,2010.2,0
56,KACANIK,Supply,Not Provided,KA652/10/65/136,Furnizim me mobilje per nevojat e shkollave,2010,METALI NTP,Viti,13-Dec-10,Not Provided,"5,728.00",Not Provided,5728,0
57,KACANIK,Supply,Not Provided,KA652/10/66/136,Furnizim me pajisje teknologjike per nevojat e administartes Komunale dhe shkollat,2010,ELITA IT NTSH,Kacanik,13-Dec-10,Not Provided,"4,050.00",Not Provided,4050,0
58,FERIZAJ,Supply,Municipal Budget,5,Furnizim me dhe per projektin e perbashket me KFOR-in Grek per rregullimin e fushes se futbollit ne Fshatin Komogllave,2011,EGZONI NN,Ferizaj,14-Feb-11,0,"8,800.00",0,8800,0
59,FERIZAJ,Services,Municipal Budget,7,Digjitalizimi i shenimeve grafike ne GIS per DUPGJK,2011,E&B ENGINEERING,Prishtine,10-Mar-11,0,"4,988.75",0,4988.75,0
60,FERIZAJ,Services,Municipal Budget,8,Dhenja me qira e tregut te kafsheve ne Fshatin Muhovce- Ferizaj,2011,STACIONI QENDROR I VETERINAIRSE,Ferizaj,11-Mar-11,0,0,"22,231.00",22231,0
61,KACANIK,Services,Not Provided,KA652/11/08/236,Sherbimet e Zerimit per nevojat e komunes se Kacanikut,2011,PRO AUDIO NSH,Kacanik,5-Apr-11,Not Provided,"10,000.00",Not Provided,10000,0
62,KACANIK,Supply,Not Provided,KA652/11/11/136,"Furnizim me materijal ushqimor dhe pije per nevojat e SHCK-se, Shkollat, Zjarrfiksave dhe Shendetsine.",2011,DADINI NTP,Kacanik,5-Apr-11,Not Provided,"10,000.00",Not Provided,10000,0
